humidite_sol,temperature_air,humidite_air,pluie_prevue_mm,type_sol,type_culture,besoin_arrosage,quantite_eau_litres_m2
36.5,24.7,36.9,1.1,Sableux,Arboriculture,1,9.56
25.6,25.0,38.0,3.9,Sableux,Céréales,1,5.01
62.4,31.2,84.0,1.7,Sableux,Céréales,0,0.0
20.8,15.1,66.2,2.2,Argileux,Céréales,1,5.3
39.8,21.9,93.2,4.2,Argileux,Céréales,0,0.0
42.5,18.0,46.9,3.2,Sableux,Maraîchage,0,0.0
80.0,38.4,57.3,0.1,Sableux,Maraîchage,0,0.0
37.2,32.1,43.1,1.5,Limoneux,Céréales,1,6.09
2.0,10.6,57.6,2.0,Argileux,Maraîchage,1,10.79
56.1,15.4,23.1,0.6,Argileux,Arboriculture,1,8.0
29.6,25.1,67.3,3.2,Argileux,Maraîchage,1,7.86
45.9,22.7,60.8,1.7,Limoneux,Arboriculture,1,8.0
43.1,16.7,54.0,3.9,Limoneux,Céréales,0,0.0
39.0,39.6,48.0,0.0,Sableux,Céréales,1,6.39
62.4,28.2,38.9,8.8,Argileux,Maraîchage,0,0.0
11.3,29.3,68.1,1.0,Argileux,Céréales,0,0.0
33.6,21.2,33.9,1.6,Sableux,Arboriculture,1,9.19
60.0,31.1,64.2,1.7,Argileux,Maraîchage,1,6.0
31.5,23.3,92.3,0.9,Sableux,Maraîchage,0,0.0
9.6,24.0,81.7,1.7,Argileux,Céréales,1,7.26
59.7,30.3,27.9,1.8,Argileux,Maraîchage,1,7.01
69.7,14.6,45.3,0.0,Sableux,Maraîchage,0,0.0
44.0,37.2,62.6,1.3,Limoneux,Céréales,1,5.27
2.0,27.3,53.7,0.1,Sableux,Céréales,1,8.59
60.5,35.0,29.8,3.6,Limoneux,Céréales,1,4.0
8.5,18.5,61.9,3.2,Argileux,Arboriculture,1,13.82
51.8,19.5,54.8,2.7,Sableux,Arboriculture,0,0.0
25.5,17.9,89.5,2.1,Limoneux,Maraîchage,0,0.0
19.5,27.8,50.4,2.4,Argileux,Céréales,1,7.67
35.3,26.5,76.0,6.8,Sableux,Maraîchage,0,0.0
41.0,22.7,32.2,0.7,Sableux,Maraîchage,0,0.0
30.8,18.9,36.5,2.6,Limoneux,Maraîchage,1,7.4
58.0,17.1,68.0,12.3,Limoneux,Céréales,0,0.0
35.2,25.7,74.5,1.8,Limoneux,Arboriculture,0,0.0
66.6,22.7,37.8,0.7,Sableux,Arboriculture,0,0.0
51.2,21.2,55.4,1.3,Argileux,Céréales,0,0.0
29.7,36.8,30.1,1.5,Limoneux,Arboriculture,0,0.0
25.9,25.4,51.7,1.6,Sableux,Maraîchage,1,7.89
8.8,34.9,70.1,0.5,Argileux,Arboriculture,1,19.32
51.4,22.3,47.2,2.2,Argileux,Arboriculture,0,0.0
37.2,27.7,50.5,3.3,Limoneux,Maraîchage,0,0.0
2.0,25.6,34.7,0.3,Sableux,Céréales,1,9.05
33.2,14.1,43.3,0.6,Limoneux,Arboriculture,1,8.97
25.2,36.0,86.6,1.4,Limoneux,Céréales,1,6.22
79.7,25.1,56.3,3.2,Sableux,Arboriculture,0,0.0
7.5,31.2,37.0,0.7,Limoneux,Arboriculture,1,19.51
13.3,20.7,49.3,1.3,Argileux,Céréales,1,7.85
69.4,24.8,26.2,4.9,Sableux,Maraîchage,0,0.0
74.8,19.9,36.7,8.3,Argileux,Céréales,0,0.0
28.6,34.7,79.5,1.1,Sableux,Maraîchage,1,7.88
31.1,28.2,52.4,0.7,Argileux,Céréales,1,6.96
58.6,28.6,89.0,1.2,Limoneux,Céréales,0,0.0
2.0,35.5,53.3,3.1,Sableux,Céréales,1,8.63
4.1,34.1,54.4,0.3,Argileux,Maraîchage,1,16.16
38.8,31.4,66.5,0.1,Sableux,Maraîchage,1,6.84
79.1,16.0,10.0,12.0,Limoneux,Arboriculture,0,0.0
35.4,21.1,58.7,0.2,Sableux,Maraîchage,1,6.0
47.2,19.0,54.1,2.8,Argileux,Maraîchage,1,6.0
69.9,31.1,81.7,5.7,Argileux,Arboriculture,0,0.0
91.4,27.2,72.4,1.5,Argileux,Maraîchage,1,6.0
32.3,16.3,34.6,0.0,Limoneux,Céréales,1,5.41
44.6,24.7,77.4,3.5,Limoneux,Maraîchage,0,0.0
85.1,15.5,50.3,0.4,Limoneux,Maraîchage,0,0.0
11.5,25.6,38.7,0.5,Argileux,Céréales,1,9.39
67.6,14.4,58.5,2.2,Argileux,Céréales,0,0.0
22.6,29.7,51.4,2.2,Sableux,Maraîchage,0,0.0
47.3,28.6,82.7,9.5,Limoneux,Maraîchage,1,6.0
39.7,39.4,61.1,0.2,Sableux,Maraîchage,1,8.54
23.9,31.9,58.7,1.5,Sableux,Céréales,0,0.0
23.4,23.0,71.2,8.3,Argileux,Arboriculture,0,0.0
51.1,31.7,74.7,0.3,Sableux,Maraîchage,0,0.0
66.9,16.2,69.1,5.0,Argileux,Maraîchage,0,0.0
42.1,19.3,80.6,0.4,Limoneux,Céréales,0,0.0
46.5,28.3,66.0,1.9,Sableux,Céréales,0,0.0
57.6,10.9,58.0,3.2,Limoneux,Maraîchage,0,0.0
23.6,25.7,77.3,0.8,Limoneux,Maraîchage,0,0.0
61.3,18.9,53.4,0.7,Argileux,Céréales,1,4.0
63.0,26.7,55.6,2.2,Limoneux,Céréales,1,4.0
100.0,18.5,86.0,1.0,Argileux,Céréales,0,0.0
36.7,29.0,84.2,5.2,Argileux,Maraîchage,0,0.0
34.9,26.1,54.9,3.4,Argileux,Arboriculture,1,10.47
61.9,35.8,46.8,0.0,Limoneux,Céréales,0,0.0
63.0,26.0,81.3,0.8,Sableux,Céréales,1,4.0
33.2,20.6,69.4,1.3,Limoneux,Maraîchage,1,6.06
36.1,24.3,60.7,0.7,Sableux,Arboriculture,1,8.0
56.9,16.6,49.2,5.4,Limoneux,Arboriculture,0,0.0
26.8,28.8,61.0,8.8,Argileux,Maraîchage,1,6.52
36.0,30.1,54.6,0.4,Limoneux,Arboriculture,1,11.79
47.0,43.3,43.0,1.2,Sableux,Arboriculture,1,11.53
66.9,21.6,57.3,0.3,Limoneux,Maraîchage,0,0.0
31.7,24.1,59.8,0.6,Argileux,Arboriculture,1,12.22
4.5,22.0,48.2,6.0,Argileux,Maraîchage,1,11.07
2.8,27.5,71.3,0.9,Sableux,Maraîchage,1,11.34
17.3,28.7,78.2,3.5,Limoneux,Maraîchage,1,8.61
16.1,25.6,72.5,1.5,Limoneux,Céréales,1,6.4
41.6,33.6,50.0,6.8,Sableux,Céréales,0,0.0
18.8,21.7,68.6,0.4,Sableux,Céréales,1,5.32
29.5,32.9,56.4,1.0,Sableux,Maraîchage,1,8.79
28.0,29.8,32.8,1.9,Argileux,Maraîchage,1,11.8
35.3,25.9,67.1,1.1,Argileux,Arboriculture,1,10.96
74.1,23.8,57.6,2.9,Argileux,Arboriculture,0,0.0
59.6,43.0,100.0,0.8,Argileux,Arboriculture,1,8.0
45.4,20.3,81.2,4.3,Argileux,Maraîchage,0,0.0
34.9,28.1,67.8,0.8,Sableux,Arboriculture,1,8.53
35.5,20.7,59.5,9.2,Argileux,Arboriculture,1,8.0
52.2,38.5,57.9,4.0,Sableux,Céréales,1,4.0
57.9,32.2,36.9,3.2,Limoneux,Maraîchage,1,6.0
25.0,21.3,23.7,1.1,Limoneux,Arboriculture,1,13.88
45.8,29.6,39.3,0.1,Limoneux,Céréales,1,5.44
2.0,27.8,54.1,1.5,Sableux,Maraîchage,1,12.21
49.7,22.4,17.1,0.9,Sableux,Maraîchage,1,6.0
61.8,31.3,45.2,0.1,Argileux,Céréales,1,4.48
38.8,28.7,50.5,2.9,Sableux,Maraîchage,1,6.0
85.0,27.5,51.1,4.8,Sableux,Maraîchage,0,0.0
25.6,25.7,43.1,1.2,Argileux,Céréales,1,7.44
49.8,29.0,48.9,0.1,Sableux,Arboriculture,1,8.0
44.2,27.6,86.0,0.1,Argileux,Maraîchage,1,6.46
42.8,26.4,66.9,12.3,Argileux,Céréales,0,0.0
42.5,21.5,44.9,7.6,Limoneux,Arboriculture,0,0.0
47.4,37.9,53.8,0.5,Sableux,Arboriculture,0,0.0
63.7,18.6,54.5,3.7,Sableux,Arboriculture,0,0.0
75.3,29.0,41.2,0.9,Sableux,Maraîchage,0,0.0
45.0,23.8,41.2,0.0,Limoneux,Arboriculture,0,0.0
62.9,38.3,73.2,2.1,Sableux,Arboriculture,0,0.0
29.6,19.7,47.4,1.0,Limoneux,Maraîchage,1,7.96
61.9,20.9,35.3,0.7,Sableux,Céréales,0,0.0
28.2,19.2,54.2,1.3,Limoneux,Céréales,1,5.02
69.0,28.3,57.1,0.6,Sableux,Céréales,0,0.0
93.6,16.4,19.5,0.7,Argileux,Maraîchage,1,6.0
42.3,22.7,54.3,0.7,Sableux,Arboriculture,1,8.0
2.0,10.9,70.6,0.3,Sableux,Arboriculture,1,11.43
32.9,27.7,63.1,0.1,Sableux,Céréales,0,0.0
72.1,22.5,95.1,1.6,Argileux,Arboriculture,0,0.0
57.2,15.6,77.5,3.2,Sableux,Céréales,0,0.0
50.5,33.6,81.1,0.1,Limoneux,Arboriculture,0,0.0
67.2,16.8,100.0,3.2,Limoneux,Céréales,0,0.0
55.7,31.6,68.6,1.9,Limoneux,Céréales,0,0.0
71.8,21.1,57.9,0.0,Argileux,Maraîchage,1,6.0
65.2,37.2,72.5,0.4,Argileux,Céréales,1,4.0
78.5,31.2,44.9,0.5,Limoneux,Maraîchage,0,0.0
52.9,18.9,56.9,0.6,Argileux,Maraîchage,1,6.0
64.9,19.6,43.3,2.3,Sableux,Maraîchage,0,0.0
38.2,30.2,62.2,0.6,Argileux,Arboriculture,0,0.0
31.8,24.2,43.3,1.3,Limoneux,Maraîchage,0,0.0
82.5,24.8,42.6,7.7,Argileux,Arboriculture,0,0.0
49.8,34.9,62.4,13.4,Argileux,Arboriculture,0,0.0
62.7,20.8,52.5,2.2,Argileux,Maraîchage,0,0.0
47.7,26.6,20.3,0.7,Argileux,Céréales,1,6.22
32.1,32.7,28.8,0.7,Limoneux,Céréales,1,7.56
45.2,31.7,34.3,1.5,Sableux,Céréales,1,4.7
76.6,24.9,39.1,1.4,Limoneux,Arboriculture,0,0.0
57.2,24.0,62.5,0.8,Sableux,Céréales,0,0.0
7.3,13.8,58.9,6.6,Argileux,Céréales,0,0.0
40.3,18.6,74.2,1.8,Sableux,Céréales,1,4.0
84.2,28.2,68.6,1.8,Sableux,Arboriculture,0,0.0
40.3,25.0,74.3,11.3,Sableux,Céréales,0,0.0
5.4,26.5,66.0,2.9,Limoneux,Céréales,1,7.45
86.6,33.3,58.8,5.4,Limoneux,Arboriculture,0,0.0
60.0,17.7,74.8,1.8,Argileux,Arboriculture,0,0.0
43.5,24.3,71.5,6.7,Limoneux,Arboriculture,0,0.0
36.8,27.3,61.8,0.8,Sableux,Arboriculture,0,0.0
68.8,21.1,77.9,0.0,Sableux,Céréales,0,0.0
33.1,36.0,12.8,5.0,Sableux,Arboriculture,1,12.47
70.3,32.4,49.8,0.9,Limoneux,Maraîchage,0,0.0
56.9,28.0,49.5,2.7,Argileux,Maraîchage,1,6.0
50.4,38.6,75.7,2.1,Limoneux,Céréales,1,4.0
48.2,15.5,83.3,0.4,Argileux,Arboriculture,0,0.0
41.2,25.9,28.9,0.8,Sableux,Céréales,1,4.86
68.0,28.6,80.4,10.0,Sableux,Céréales,0,0.0
26.0,19.6,33.9,9.3,Argileux,Céréales,1,4.14
9.3,28.1,34.5,2.1,Sableux,Maraîchage,1,11.97
58.5,18.3,50.8,1.0,Sableux,Céréales,0,0.0
58.9,30.8,49.3,3.2,Limoneux,Céréales,0,0.0
55.6,33.4,26.9,5.6,Argileux,Céréales,0,0.0
54.0,27.9,66.7,8.9,Argileux,Céréales,0,0.0
37.9,13.0,67.2,0.7,Sableux,Maraîchage,0,0.0
62.3,19.2,74.0,0.9,Argileux,Arboriculture,0,0.0
44.0,30.0,47.2,0.2,Argileux,Céréales,0,0.0
34.3,26.1,54.3,0.1,Argileux,Maraîchage,1,9.72
38.1,8.0,54.5,1.0,Argileux,Céréales,1,4.0
89.5,34.7,85.4,0.2,Sableux,Céréales,0,0.0
6.8,27.0,10.0,3.5,Argileux,Maraîchage,1,15.29
56.0,20.3,37.8,1.3,Sableux,Maraîchage,0,0.0
8.1,33.0,55.1,0.7,Argileux,Maraîchage,1,14.99
42.6,21.3,35.5,2.5,Limoneux,Céréales,0,0.0
35.5,21.2,50.4,2.6,Argileux,Arboriculture,1,9.98
2.0,28.5,52.7,0.9,Limoneux,Arboriculture,0,0.0
53.6,38.5,43.2,3.0,Limoneux,Céréales,1,4.58
36.6,37.4,56.2,8.6,Limoneux,Arboriculture,1,8.0
2.0,28.5,66.3,6.4,Argileux,Maraîchage,0,0.0
63.5,29.2,50.7,0.2,Argileux,Arboriculture,0,0.0
76.6,31.5,46.8,1.3,Sableux,Céréales,1,4.0
77.8,17.2,52.0,4.1,Argileux,Arboriculture,0,0.0
52.9,30.5,54.9,5.5,Limoneux,Arboriculture,0,0.0
46.0,20.9,23.7,0.9,Sableux,Céréales,1,4.0
74.2,28.2,63.3,5.2,Limoneux,Maraîchage,0,0.0
82.0,24.4,46.9,2.5,Argileux,Céréales,0,0.0
69.9,29.5,77.7,6.5,Argileux,Arboriculture,0,0.0
24.3,26.8,65.6,2.5,Argileux,Arboriculture,1,12.73
49.4,8.0,76.1,6.6,Limoneux,Arboriculture,0,0.0
54.7,27.3,36.8,0.5,Argileux,Maraîchage,0,0.0
5.2,30.5,48.3,11.0,Limoneux,Céréales,1,5.87
55.3,29.1,32.6,0.2,Argileux,Maraîchage,1,8.07
95.0,25.3,42.3,4.7,Limoneux,Arboriculture,0,0.0
59.1,37.5,77.5,0.3,Sableux,Arboriculture,0,0.0
77.4,28.2,81.8,7.2,Sableux,Maraîchage,0,0.0
49.0,29.1,34.3,0.3,Sableux,Céréales,1,4.34
43.4,33.3,46.8,2.9,Sableux,Arboriculture,1,8.27
53.4,28.5,53.6,2.0,Limoneux,Arboriculture,0,0.0
27.1,19.7,65.5,0.8,Limoneux,Céréales,1,4.95
23.8,8.9,23.3,6.3,Sableux,Maraîchage,1,6.0
72.9,22.7,26.1,1.9,Limoneux,Arboriculture,0,0.0
75.2,31.3,63.8,2.8,Limoneux,Arboriculture,0,0.0
23.2,23.5,19.9,1.0,Sableux,Céréales,1,6.81
66.3,31.6,47.0,8.3,Limoneux,Arboriculture,0,0.0
43.1,27.0,57.9,3.1,Limoneux,Maraîchage,1,6.0
52.5,35.0,62.5,1.7,Limoneux,Céréales,0,0.0
55.1,23.9,52.4,3.1,Limoneux,Maraîchage,0,0.0
66.9,29.3,48.4,4.0,Argileux,Arboriculture,0,0.0
46.8,29.5,70.2,0.7,Sableux,Arboriculture,0,0.0
76.0,36.5,60.1,4.6,Limoneux,Arboriculture,0,0.0
51.8,14.1,43.4,0.7,Limoneux,Céréales,0,0.0
58.7,22.8,55.7,3.1,Sableux,Maraîchage,0,0.0
26.7,31.9,61.9,0.7,Argileux,Maraîchage,1,11.34
92.5,36.8,85.9,0.6,Sableux,Céréales,0,0.0
55.3,27.7,69.2,2.3,Sableux,Arboriculture,0,0.0
60.7,24.0,76.9,1.0,Argileux,Maraîchage,0,0.0
9.6,31.3,44.0,0.1,Argileux,Arboriculture,1,20.54
26.9,32.1,45.6,4.9,Argileux,Maraîchage,1,10.09
72.2,23.5,50.8,14.1,Argileux,Céréales,0,0.0
51.3,28.3,52.4,3.8,Argileux,Maraîchage,1,6.0
2.9,34.3,36.9,8.1,Limoneux,Céréales,1,8.07
67.8,39.2,77.8,4.2,Argileux,Céréales,0,0.0
33.0,31.2,70.9,14.6,Sableux,Maraîchage,0,0.0
76.0,26.3,49.5,1.7,Limoneux,Céréales,0,0.0
43.1,25.6,66.6,2.3,Limoneux,Arboriculture,0,0.0
49.5,29.9,59.0,1.4,Argileux,Arboriculture,1,9.27
70.9,25.2,68.0,10.5,Argileux,Maraîchage,0,0.0
25.3,27.3,30.8,2.1,Limoneux,Arboriculture,0,0.0
23.2,18.6,52.4,6.8,Limoneux,Arboriculture,1,8.0
40.7,35.1,54.0,0.4,Sableux,Arboriculture,0,0.0
63.2,18.0,66.2,0.9,Argileux,Céréales,0,0.0
15.7,23.0,43.7,2.7,Limoneux,Arboriculture,0,0.0
8.3,26.7,10.0,1.3,Limoneux,Céréales,1,9.94
63.1,39.9,35.5,1.0,Argileux,Maraîchage,1,8.3
31.7,23.0,53.9,1.5,Limoneux,Maraîchage,1,7.63
36.4,21.3,56.1,0.7,Sableux,Arboriculture,0,0.0
4.2,22.1,85.3,5.7,Sableux,Maraîchage,1,6.71
30.1,37.6,65.5,1.1,Sableux,Céréales,0,0.0
44.8,8.0,56.5,3.1,Argileux,Arboriculture,0,0.0
65.5,19.0,54.4,0.5,Sableux,Maraîchage,0,0.0
28.0,45.0,74.9,5.3,Sableux,Céréales,1,5.38
81.5,30.1,44.4,1.0,Limoneux,Maraîchage,0,0.0
29.9,18.3,52.5,1.5,Argileux,Céréales,1,5.51
30.0,25.7,35.4,5.2,Limoneux,Maraîchage,0,0.0
78.8,26.5,80.5,0.8,Argileux,Arboriculture,0,0.0
49.7,31.9,62.1,5.5,Argileux,Maraîchage,0,0.0
32.9,38.9,42.3,1.0,Sableux,Arboriculture,1,13.72
41.6,28.7,52.9,1.3,Argileux,Arboriculture,1,11.27
74.8,22.2,64.2,6.8,Limoneux,Arboriculture,0,0.0
77.3,31.5,50.5,0.4,Limoneux,Arboriculture,0,0.0
27.0,21.1,45.4,1.4,Sableux,Maraîchage,1,7.38
44.1,18.8,43.2,1.3,Limoneux,Arboriculture,1,8.0
47.0,13.7,61.1,3.1,Argileux,Céréales,1,4.0
23.3,15.0,48.6,2.4,Limoneux,Arboriculture,1,9.72
43.8,19.7,46.8,2.4,Sableux,Arboriculture,0,0.0
45.1,17.8,31.0,2.9,Limoneux,Céréales,0,0.0
70.1,28.2,56.4,3.6,Argileux,Céréales,0,0.0
71.6,17.6,51.7,10.7,Argileux,Maraîchage,0,0.0
37.8,8.0,49.2,4.7,Sableux,Maraîchage,0,0.0
40.3,18.7,58.6,1.1,Argileux,Céréales,1,4.31
59.6,22.7,68.5,0.7,Argileux,Arboriculture,0,0.0
32.1,21.8,67.6,1.8,Sableux,Céréales,1,4.0
58.0,36.6,64.9,3.0,Argileux,Céréales,0,0.0
43.1,21.7,50.7,3.7,Limoneux,Maraîchage,1,6.0
23.7,32.2,44.8,2.0,Limoneux,Céréales,1,7.33
23.9,25.9,36.2,2.2,Limoneux,Céréales,1,6.77
76.8,25.7,44.3,1.5,Argileux,Arboriculture,0,0.0
41.6,20.2,55.4,1.4,Argileux,Arboriculture,0,0.0
81.1,25.6,40.8,3.1,Argileux,Céréales,0,0.0
33.7,20.6,56.7,1.5,Argileux,Arboriculture,1,10.43
51.4,27.2,37.6,2.1,Argileux,Céréales,0,0.0
97.6,24.3,25.1,5.9,Sableux,Arboriculture,0,0.0
21.7,19.4,69.7,9.5,Sableux,Céréales,0,0.0
3.2,32.9,46.5,0.1,Argileux,Maraîchage,1,16.65
73.3,29.0,39.9,2.4,Limoneux,Céréales,0,0.0
26.8,22.9,35.3,1.0,Sableux,Maraîchage,1,8.57
44.5,27.0,62.6,3.5,Sableux,Maraîchage,1,6.0
32.1,25.4,79.7,0.2,Limoneux,Arboriculture,0,0.0
50.9,19.9,47.7,2.5,Limoneux,Arboriculture,0,0.0
24.1,26.5,51.1,0.6,Sableux,Maraîchage,1,8.98
41.0,21.7,74.3,2.4,Sableux,Arboriculture,1,8.0
54.9,19.4,22.4,0.2,Sableux,Maraîchage,0,0.0
22.8,14.6,90.4,1.7,Limoneux,Maraîchage,0,0.0
29.6,23.5,99.0,0.1,Sableux,Arboriculture,0,0.0
37.4,30.0,10.0,2.0,Limoneux,Maraîchage,1,10.41
13.6,21.1,53.2,7.5,Limoneux,Arboriculture,1,9.54
35.7,43.6,42.1,0.7,Limoneux,Arboriculture,1,16.11
47.6,32.2,50.2,0.9,Argileux,Maraîchage,0,0.0
36.2,35.1,47.5,3.4,Limoneux,Maraîchage,1,8.61
39.0,31.6,69.6,7.0,Argileux,Arboriculture,0,0.0
44.6,39.0,53.0,3.5,Argileux,Céréales,1,5.89
30.6,20.5,38.6,4.6,Argileux,Céréales,1,5.21
60.2,8.1,51.9,0.2,Argileux,Céréales,1,4.0
76.6,22.9,64.3,1.4,Limoneux,Céréales,0,0.0
34.8,29.9,33.7,1.0,Limoneux,Arboriculture,1,13.26
55.7,27.1,25.4,0.1,Sableux,Céréales,0,0.0
39.7,27.9,90.9,4.4,Limoneux,Maraîchage,0,0.0
53.0,35.2,43.4,4.1,Sableux,Céréales,0,0.0
79.4,28.7,52.5,0.2,Argileux,Arboriculture,1,8.0
56.2,31.6,47.8,8.2,Argileux,Maraîchage,1,6.0
6.0,19.4,64.9,1.1,Sableux,Céréales,1,6.34
55.0,18.3,86.9,3.4,Argileux,Arboriculture,0,0.0
72.1,37.3,65.4,2.5,Sableux,Céréales,1,4.0
40.1,26.7,27.7,3.6,Argileux,Maraîchage,1,8.59
66.9,21.6,30.1,0.3,Sableux,Maraîchage,0,0.0
29.8,21.7,47.8,2.6,Limoneux,Céréales,1,4.96
12.3,21.5,50.2,1.2,Limoneux,Céréales,1,7.25
48.1,21.0,24.0,0.2,Argileux,Arboriculture,1,10.91
6.4,17.0,69.7,0.5,Limoneux,Céréales,1,6.81
39.7,15.5,35.4,2.1,Argileux,Arboriculture,0,0.0
73.3,24.6,81.9,1.7,Argileux,Maraîchage,0,0.0
3.0,21.8,87.8,1.9,Sableux,Céréales,1,5.79
16.9,33.8,50.5,1.1,Argileux,Maraîchage,1,13.79
22.3,28.1,62.9,2.9,Argileux,Céréales,1,6.7
43.6,27.9,32.8,0.2,Limoneux,Maraîchage,1,8.53
37.0,20.8,66.2,0.9,Argileux,Céréales,1,4.73
75.8,25.2,46.0,3.0,Argileux,Céréales,0,0.0
66.0,28.5,35.4,8.2,Argileux,Maraîchage,0,0.0
55.9,31.0,49.8,1.7,Argileux,Maraîchage,0,0.0
48.2,25.3,46.6,1.6,Limoneux,Céréales,1,4.0
53.7,33.6,49.1,0.6,Sableux,Arboriculture,0,0.0
26.0,26.1,72.1,5.4,Argileux,Maraîchage,1,7.18
63.9,31.5,40.9,2.0,Limoneux,Céréales,0,0.0
20.5,22.6,86.2,2.9,Limoneux,Maraîchage,1,6.7
63.4,13.3,31.1,0.7,Sableux,Arboriculture,0,0.0
71.1,27.9,84.1,1.9,Sableux,Céréales,0,0.0
49.6,31.1,36.7,0.9,Sableux,Arboriculture,0,0.0
41.1,30.0,55.0,5.5,Argileux,Maraîchage,1,6.44
53.8,29.0,46.2,1.7,Sableux,Maraîchage,1,6.0
2.0,23.6,48.8,3.1,Sableux,Céréales,1,7.25
51.6,20.4,69.4,4.0,Argileux,Céréales,0,0.0
42.5,29.9,82.0,0.0,Limoneux,Arboriculture,0,0.0
43.9,29.0,76.4,1.4,Limoneux,Arboriculture,0,0.0
60.5,22.1,47.7,1.6,Argileux,Arboriculture,0,0.0
43.4,33.8,58.3,3.0,Limoneux,Céréales,1,4.47
19.9,19.8,40.9,0.8,Sableux,Céréales,0,0.0
41.9,21.9,37.2,1.4,Argileux,Céréales,0,0.0
46.5,37.5,34.4,2.1,Sableux,Maraîchage,1,7.65
47.5,32.1,47.1,2.6,Limoneux,Céréales,0,0.0
48.6,23.5,59.5,6.4,Argileux,Céréales,1,4.0
67.9,28.0,20.6,1.6,Argileux,Maraîchage,1,6.0
21.1,27.1,54.2,0.4,Limoneux,Maraîchage,1,10.72
48.9,8.0,82.3,5.3,Argileux,Céréales,0,0.0
73.4,19.7,75.2,0.9,Limoneux,Céréales,0,0.0
6.8,25.6,44.5,5.7,Limoneux,Arboriculture,0,0.0
49.0,23.5,29.9,0.9,Sableux,Céréales,0,0.0
32.1,27.7,63.3,0.1,Limoneux,Arboriculture,0,0.0
36.8,33.9,13.3,2.1,Limoneux,Céréales,1,7.33
25.1,23.7,75.0,8.4,Argileux,Maraîchage,1,6.0
41.3,18.6,51.2,1.5,Sableux,Maraîchage,1,6.0
85.5,28.3,88.0,0.6,Argileux,Arboriculture,0,0.0
17.2,23.7,23.9,0.6,Argileux,Céréales,1,9.09
19.3,24.9,71.5,5.2,Argileux,Maraîchage,1,8.22
16.4,24.0,53.2,3.2,Limoneux,Céréales,1,6.33
83.0,41.7,49.0,1.6,Sableux,Arboriculture,1,8.0
34.8,10.3,30.3,0.2,Sableux,Céréales,0,0.0
44.4,23.3,65.7,2.6,Argileux,Maraîchage,1,6.0
36.1,26.0,67.2,5.1,Argileux,Maraîchage,1,6.0
24.2,20.5,87.1,0.2,Limoneux,Arboriculture,1,9.37
39.8,32.3,73.1,0.9,Sableux,Arboriculture,0,0.0
99.1,31.7,44.3,2.6,Sableux,Arboriculture,0,0.0
75.6,25.7,36.9,6.1,Limoneux,Arboriculture,0,0.0
26.2,24.1,30.4,13.8,Limoneux,Maraîchage,1,6.0
59.2,25.2,81.5,5.5,Sableux,Maraîchage,0,0.0
26.7,25.3,41.0,2.9,Argileux,Maraîchage,0,0.0
5.9,25.5,81.6,1.2,Limoneux,Maraîchage,1,10.84
67.4,24.7,64.5,0.9,Sableux,Arboriculture,0,0.0
70.5,27.8,60.9,0.0,Sableux,Arboriculture,0,0.0
68.0,31.3,49.5,1.7,Limoneux,Maraîchage,0,0.0
34.7,17.4,66.9,3.7,Argileux,Arboriculture,0,0.0
41.3,18.6,54.7,1.6,Argileux,Céréales,0,0.0
61.5,13.8,48.4,4.4,Limoneux,Maraîchage,0,0.0
53.6,32.1,67.5,7.4,Sableux,Arboriculture,0,0.0
36.3,27.8,52.4,1.1,Argileux,Arboriculture,1,12.35
9.4,29.5,40.6,2.1,Limoneux,Céréales,1,8.68
47.5,16.0,65.8,1.6,Sableux,Arboriculture,0,0.0
68.7,38.5,53.8,1.2,Limoneux,Céréales,1,4.0
18.7,21.7,63.8,6.1,Sableux,Arboriculture,1,8.0
59.1,27.2,46.8,1.5,Sableux,Céréales,1,4.0
52.3,32.0,33.2,1.0,Limoneux,Arboriculture,1,9.98
61.5,19.1,86.2,10.2,Argileux,Maraîchage,0,0.0
64.2,22.2,82.8,4.8,Argileux,Maraîchage,0,0.0
29.7,27.3,70.9,0.1,Argileux,Arboriculture,1,12.88
9.4,45.0,48.0,0.5,Limoneux,Maraîchage,1,16.44
33.3,28.1,49.6,0.2,Sableux,Maraîchage,1,8.08
64.6,37.2,79.9,0.0,Limoneux,Arboriculture,0,0.0
33.1,34.4,48.6,26.9,Argileux,Maraîchage,0,0.0
29.7,28.6,43.6,4.7,Sableux,Céréales,0,0.0
4.9,19.1,88.7,2.4,Argileux,Maraîchage,1,9.89
83.6,33.4,54.1,5.4,Argileux,Maraîchage,1,6.0
63.2,15.5,86.8,1.6,Sableux,Arboriculture,0,0.0
61.9,37.2,29.8,15.2,Argileux,Maraîchage,0,0.0
66.3,27.4,64.3,1.6,Argileux,Maraîchage,0,0.0
57.7,8.0,92.3,1.8,Sableux,Arboriculture,0,0.0
39.6,23.6,55.5,2.9,Sableux,Arboriculture,1,8.0
41.4,30.6,50.2,6.8,Limoneux,Maraîchage,1,6.0
35.6,24.3,34.0,0.3,Argileux,Arboriculture,1,13.69
100.0,31.0,74.5,2.1,Sableux,Céréales,0,0.0
57.2,20.0,41.1,3.7,Limoneux,Arboriculture,1,8.0
34.8,16.9,53.3,0.1,Sableux,Maraîchage,0,0.0
55.2,25.5,32.8,1.2,Limoneux,Arboriculture,0,0.0
22.8,26.2,83.0,2.9,Limoneux,Céréales,1,4.82
78.1,23.6,75.8,4.8,Sableux,Arboriculture,0,0.0
